Rater	F_22_ATTR	F_23_ATTR	F_29_ATTR	F_33_ATTR	F_37_ATTR	F_39_ATTR	F_43_ATTR	F_46_ATTR	F_47_ATTR	F_53_ATTR	F_61_ATTR	F_62_ATTR	F_65_ATTR	F_66_ATTR	F_69_ATTR	F_73_ATTR	F_74_ATTR	F_76_ATTR	F_91_ATTR	F_92_ATTR	F_95_ATTR	F_98_ATTR	F_99_ATTR	F_102_ATTR	F_104_ATTR	F_105_ATTR	F_110_ATTR	F_111_ATTR	F_115_ATTR	F_116_ATTR	F_120_ATTR	F_131_ATTR	F_132_ATTR	F_135_ATTR	F_137_ATTR	F_138_ATTR	F_139_ATTR	F_151_ATTR	F_152_ATTR	F_153_ATTR	F_154_ATTR	F_155_ATTR	F_156_ATTR	F_158_ATTR	F_164_ATTR	F_170_ATTR	F_176_ATTR	F_178_ATTR	F_183_ATTR	F_185_ATTR	F_186_ATTR	F_188_ATTR	F_190_ATTR	F_196_ATTR	F_197_ATTR	F_199_ATTR	F_200_ATTR	F_205_ATTR	F_206_ATTR	F_213_ATTR	F_219_ATTR	F_227_ATTR	F_232_ATTR	F_238_ATTR	F_239_ATTR	F_256_ATTR	F_258_ATTR	F_275_ATTR	F_282_ATTR	F_286_ATTR	F_299_ATTR	F_302_ATTR	F_303_ATTR	F_304_ATTR	F_305_ATTR	F_307_ATTR	F_309_ATTR	F_310_ATTR	F_323_ATTR	F_330_ATTR	F_334_ATTR	F_340_ATTR	F_341_ATTR	F_345_ATTR	F_352_ATTR	F_355_ATTR	F_363_ATTR	F_365_ATTR	F_366_ATTR	F_369_ATTR	F_374_ATTR	F_377_ATTR	F_378_ATTR	F_380_ATTR	F_382_ATTR	F_386_ATTR	F_393_ATTR	F_395_ATTR	F_398_ATTR	F_404_ATTR	F_405_ATTR	F_419_ATTR	F_424_ATTR	F_427_ATTR	F_429_ATTR	F_434_ATTR	F_441_ATTR	F_444_ATTR	F_447_ATTR	F_452_ATTR	F_453_ATTR	F_454_ATTR	F_456_ATTR	F_457_ATTR	F_460_ATTR	F_465_ATTR	F_468_ATTR	F_470_ATTR	F_473_ATTR	F_474_ATTR	F_475_ATTR	F_484_ATTR	F_486_ATTR	F_490_ATTR	F_492_ATTR	F_493_ATTR	F_497_ATTR	F_502_ATTR	F_503_ATTR	F_505_ATTR	F_513_ATTR	F_514_ATTR	F_521_ATTR	F_523_ATTR	F_526_ATTR	F_527_ATTR	F_532_ATTR	F_533_ATTR	F_534_ATTR	F_535_ATTR	F_536_ATTR	F_537_ATTR	F_539_ATTR	F_542_ATTR
TUR73												2														6																																					2										1																1							2									1																5																							
TUR74			1																								4											5					2																													2																											2											4																															3			
TUR75																	1																																																			1															1										1																			1							1													1												
TUR76													1		2								2																																																				6																												7									4									3											4												
TUR77			2																																4									1																																				4					3																														1																								5					
TUR78																														6	1	3																	4					6												7							1																																						2																																	
TUR79						1								7											7																							5																			2		1		5																																																			3																						
TUR80																										3								1																														2																																									3													2											2				3											
TUR81																																1																					1		2																													3																		1								4																					1													
TUR82												1		5																	1																							6																						1	3																																							5																												
TUR83																																										1										3																				1																						1									3					1	1							1																												
TUR84											5											3															7																														2																														5					2																											3															
TUR85		1	1					3																										1												4																																4																	1																																														1			
TUR86						1																														4					2														5														1																																	1																				1							1															
TUR87																										2											1							2						2		2																																																						1							1									2																						
TUR88																						5					2				2					4																											1															4						4																																												1																
TUR89											1	1									1																																				1				1																			1																																					5											1																
TUR90																																1									2													1									1							1																																			2											3			1																									
TUR91							5							7																							5							3							3							2																								4																												6																																		
TUR92																															3						2																						2																										9						2																											1							1													1						
TUR93														4													1				5																					3																2	1							2													1																																																							
TUR94	1																																																												2				4							1																														2		4				3																						1														
TUR95					9																		2																																																	3																5						4											3													2																										
TUR96																																				7																					1		3																7	3																																									7																3											
TUR97																																																														2	4									3														3				4								5																					1		3																							
TUR98																			4											4										2																																																							1																					6		2															6	3										
TUR99						1													1		2																																									4																										2																																															1			3						
TUR100					9	3																																																								2										4							6														4						3																												3																	
TUR101																																	2												5						4			5									1								2								4																																				1																													
TUR102									1					7													1																																																														1																						4																1																	
TUR103																																																							7									1						2								5																																																				6								4						
TUR104													1										4		6					4																																					1																																			4																															6			7								
TUR105					6							5									3																		2																	6		3									6															5																																																														
TUR106																		3						4												6	5																4																																												5																						4																									
TUR107				1								1																																									1												2							1																																		1																1																		1				
TUR108											5	3		6																		2																																																																	4															2							3													3												
TUR109																																																											2																					3									2														7																									3			4													
TUR110								7																																																									7			5		3																																				1							5						4																5									
TUR111												1																6															5								2																											6		1																			4																																1													
TUR112											1		1																							2													3																						3															1								7							6																																											
TUR113					4																																	5	4	6																																												4																																														5							4							
TUR114				5																																																																		2																				6													6							5								2																									7	4
TUR115								3		3																																																	3																															4																										4														3												4		
TUR116						1				1				1						1																		2										1																																						1																																																									2	
TUR117																																																											4							5			2											3						4							5																	5																																		
TUR118	1																4				4																																																									4																			3						4																					6										1										
TUR119																															2							6	1																											7																2																			3		5					4																																				
TUR120																			3						5																	3																																4							3															3													4								4																											
TUR121											3																			6					2														1	1																											5													2																	2																																					
TUR122																																				5	3																																																			7		5			1						4																									6	1																			
TUR123																												4																								4	5																										7																																						7					5																2						
TUR124																1																																									1	1										4										4																																																																		
TUR125																	2										1			3					2																					2																							7		2																																																	6														
TUR126								4																					4																	4				4																																											4																		4																												5					
TUR127																	1																								5									1																								3																																								1																1								1						
TUR128											1																																								4										5				6																				9		2					1																																					4															
TUR129		1		6																			5																																				1				5																																																		3		2																													
TUR130																																																														2		1							2																		2								1						1																	1																								
TUR131															4					3			2		4								5																										5			2																																													2																																					
TUR132						3																								6															6						6																				6				7																																																														5							
TUR133			1	1					2																						1																																																	1		1																											2																																			
TUR134																		1		3															2						4													6																																									4																																								2				2					
TUR135														5																																		2								2						2					2																				2																																			3																						
TUR136	2					1		1																					2																																									1																									3																													5																				6
TUR137																												3																														2															2									2		3											2									3																																								
TUR138									1		1								1											1																																																				2															2																																		2								4					
TUR139								1																						1																																															2						1								5												1													1																								1				
TUR140									1												1				1				2																																																								9		1																											1			4																											
TUR141																																																								3		1																	4			5		1															1																																																	6
TUR142																												4																																						5								4																4	4	3			2					4																																												
TUR143									4													5						4																																															4	4																									4																																			4								
TUR144																																				7	5								4																				5																																			3							3																					1					5											
TUR145																																								4												4						2		5														6	5			5																																																																		
TUR146																											6												1				2		6						2			7																															5																																																			2								
TUR147																										4								3																		5																																																								4															3					6						5										7
TUR148			1																								2																																																							1								2															1									3																											1			2
TUR149					9																																																														3																											6	1	5						4															6																	4										
TUR150						1		1									1																				1																																					4											1		1	4																																																								
TUR151														2								3			1												3																																																																														1										1				1												1			
TUR152																																7																7																					7											7															7			7																																							7			7				
TUR153					9		6																																2																										7	7			1																										1																								1																									
TUR154																																												2	2																																																							2				4														1															4					4						
TUR155																2																5		2														6										5																											3																							7																																		5		
TUR156					1																																	1																																						1					1																				1																																									3		
TUR157			2											5																																3																																																												3							2				7																									5		
TUR158									1						3																													1																																			7																			1																				1												4												2		
TUR159								1																		1																																									1										4																																											1					1																			3
TUR160																																													2						2																																											2																												2	2			1				2		2												
TUR161																					5											4											2																			2																											2						3					3							2																																					
TUR162																3								3								2							3					2					2																																																																	3																														
TUR163																		1						3																							1																										1																																									4																					3								4	
TUR164													1																1		2																																									1					5																2									1																															1											
TUR165		2															2																5														3				2																																																																			2	2																									5
TUR166	2							5				3				2																																															3									4																													2																												1															
TUR167						9																																																																							5										4							3								4							4																											6				3				
TUR168																		1															3										1					1											1			1							1																					3																																																						
TUR169													4															5																3									6		7												4																			3																																														5												
TUR170																										1					6																							7																																								7																												6				1					1			7										
